"c","d","dp","h","l","o","pc","t","Symbol","change","Security","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","country","currency","estimateCurrency","exchange","finnhubIndustry","ipo","logo","marketCapitalization","name","phone","shareOutstanding","weburl"
126.35,1.22,0.975,127.27,125.52,125.52,125.13,2025-04-18,"ALLE",0.661249203314212,"Allegion","Industrials","Building Products","Dublin, Ireland","2013-12-02","1579241","1908","IE","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Building","2013-11-18","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALLE.png",10902.785827,"Allegion PLC","353178103700",86.29,"https://www.allegion.com/corp/en/index.html"
60.8,0.38,0.6289,61.7725,60.29,60.67,60.42,2025-04-18,"LNT",0.214273940992246,"Alliant Energy","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01","352541","1917","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Utilities","1976-03-30","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/LNT.png",15617.890331,"Alliant Energy Corp","16084583311",256.87,"https://www.alliantenergy.com/"
194.66,0.42,0.2162,196.83,193.16,195.8,194.24,2025-04-18,"ALL",-0.58222676200205,"Allstate","Financials","Property & Casualty Insurance","Northbrook, Illinois","1995-07-13","899051","1931","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Insurance","1993-06-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ALL.png",51589.974202,"Allstate Corp","18474025000",265.03,"https://www.allstateinvestors.com/"
151.16,-2.17,-1.4152,154.68,148.5,154.29,153.33,2025-04-18,"GOOGL",-2.02864735238836,"Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03","1652044","1998","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Media","2004-08-19","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.png",1854733.827866,"Alphabet Inc","16502530000",12208,"https://abc.xyz/"
151.16,-2.17,-1.4152,154.68,148.5,154.29,153.33,2025-04-18,"GOOGL",-2.02864735238836,"Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03","1652044","1998","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Media","2004-08-19","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.png",1854733.827866,"Alphabet Inc","16502530000",12208,"https://abc.xyz/"
58.16,0.89,1.554,58.515,57.44,57.48,57.27,2025-04-18,"MO",1.1830201809325,"Altria","Consumer Staples","Tobacco","Richmond, Virginia","1957-03-04","764180","1985","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Tobacco","1923-03-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MO.png",98077.61735,"Altria Group Inc","18042742200",1686.34,"https://www.altria.com/"
172.61,-1.72,-0.9866,176.21,172,176,174.33,2025-04-18,"AMZN",-1.92613636363636,"Amazon","Consumer Discretionary","Broadline Retail","Seattle, Washington","2005-11-18","1018724","1994","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Retail","1997-05-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMZN.png",1831800.201018,"Amazon.com Inc","12062661000",10612.36,"https://www.amazon.com/"
9.39,0.14,1.5135,9.48,9.26,9.26,9.25,2025-04-18,"AMCR",1.40388768898489,"Amcor","Materials","Paper & Plastic Packaging Products & Materials","Warmley, Bristol, United Kingdom","2019-06-07","1748790","2019 (1860)","GB","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Packaging","2019-06-11","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMCR.png",13571.773724,"Amcor PLC","441179753200",1445.34,"https://www.amcor.com/"
98.65,0.65,0.6633,99.82,98.08,98.4,98,2025-04-18,"AEE",0.254065040650406,"Ameren","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19","1002910","1902","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1952-12-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEE.png",26675.3671492185,"Ameren Corp","13146213222",270.16,"https://www.ameren.com/"
107.71,1.79,1.69,109.03,106.67,106.75,105.92,2025-04-18,"AEP",0.899297423887582,"American Electric Power","Utilities","Electric Utilities","Columbus, Ohio","1957-03-04","4904","1906","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Utilities","1949-09-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AEP.png",59944.565523,"American Electric Power Company Inc","16147161000",533.99,"https://www.aep.com/"
251.31,-1.61,-0.6366,255.62,247.1,252.95,252.92,2025-04-18,"AXP",-0.648349476181058,"American Express","Financials","Consumer Finance","New York City, New York","1976-06-30","4962","1850","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Financial Services","1977-05-18","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AXP.png",176195.825997,"American Express Co","12126402000",701.11,"https://www.americanexpress.com/"
81.14,0.17,0.21,82.16,80.67,81.31,80.97,2025-04-18,"AIG",-0.209076374369698,"American International Group","Financials","Multi-line Insurance","New York City, New York","1980-03-31","5272","1919","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Insurance","1984-10-08","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIG.png",47367.3516,"American International Group Inc","12127707000",583.77,"https://www.aig.com/home"
222.66,4.66,2.1376,224.36,218.26,218.94,218,2025-04-18,"AMT",1.69909564264182,"American Tower","Real Estate","Telecom Tower REITs","Boston, Massachusetts","2007-11-19","1053507","1995","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","1998-06-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959033886.png",104231.124174,"American Tower Corp","16173757500",468.12,"https://www.americantower.com/"
148.4,2,1.3661,149.55,146.03,146.57,146.4,2025-04-18,"AWK",1.24855018080099,"American Water Works","Utilities","Water Utilities","Camden, New Jersey","2016-03-04","1410636","1886","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","2008-04-23","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AWK.png",28939.622388,"American Water Works Company Inc","18569554001",195.01,"https://www.amwater.com/"
464.56,1.34,0.2893,471.74,463.06,464.09,463.22,2025-04-18,"AMP",0.101273459889251,"Ameriprise Financial","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03","820027","1894","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Financial Services","2005-09-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMP.png",44511.328185,"Ameriprise Financial Inc","16126718001",95.81,"https://www.ameriprise.com/"
157.81,-0.71,-0.4479,160.53,157.416,159.6,158.52,2025-04-18,"AME",-1.12155388471177,"Ametek","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23","1037868","1930","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Electrical Equipment","1930-07-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AME.png",36414.168115,"AMETEK Inc","16106472121",230.75,"https://www.ametek.com/"
277.29,-5.35,-1.8929,278.68,268.5,277.04,282.64,2025-04-18,"AMGN",0.0902396765809991,"Amgen","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02","318154","1980","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Biotechnology","1983-06-17","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMGN.png",149085.149108,"Amgen Inc","18054471000",537.65,"https://www.amgen.com/"
65.06,0.29,0.4477,66,64.57,65.015,64.77,2025-04-18,"APH",0.069214796585406,"Amphenol","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30","820313","1932","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Electrical Equipment","1991-11-08","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APH.png",78838.620179,"Amphenol Corp","12032658900",1211.78,"https://www.amphenol.com/"
176.27,0.34,0.1933,178.34,173.58,177.89,175.93,2025-04-18,"ADI",-0.910675136320184,"Analog Devices","Information Technology","Semiconductors","Wilmington, Massachusetts","1999-10-12","6281","1965","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Semiconductors","1979-04-03","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADI.png",87425.774653,"Analog Devices Inc","17813294700",495.98,"https://www.analog.com/"
302.74,1.15,0.3813,307.05,301.545,303.14,301.59,2025-04-18,"ANSS",-0.131952233291541,"Ansys","Information Technology","Application Software","Canonsburg, Pennsylvania","2017-06-19","1013462","1969","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","1996-06-20","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANSS.png",26535.698771,"ANSYS Inc","18444626797",87.65,"https://www.ansys.com/"
367.41,-5.41,-1.4511,374.11,362.265,374.11,372.82,2025-04-18,"AON",-1.79091710994092,"Aon plc","Financials","Insurance Brokers","London, UK","1996-04-23","315293","1982 (1919)","IE","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Insurance","1980-06-02","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AON.png",79360.970046,"Aon PLC","35312666000",216,"https://www.aon.com/"
16.11,0.74,4.8146,16.27,15.62,15.66,15.37,2025-04-18,"APA",2.8735632183908,"APA Corporation","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28","1841666","1954","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Energy","1969-05-27","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APA.png",5865.076104,"APA Corp (US)","17132966000",361.66,"https://apacorp.com/"
126.78,1.57,1.2539,127.89,125.02,126.28,125.21,2025-04-18,"APO",0.395945517896737,"Apollo Global Management","Financials","Asset Management & Custody Banks","New York City, New York","2024-12-23","1858681","1990","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Financial Services","2011-03-29","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APO.png",72325.505394,"Apollo Global Management Inc","12125153200",570.48,"https://www.apollo.com/"
196.98,2.71,1.395,198.8335,194.42,197.2,194.27,2025-04-18,"AAPL",-0.11156186612576,"Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30","320193","1977","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","1980-12-12","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png",2959047.923065,"Apple Inc","14089961010",15037.87,"https://www.apple.com/"
137.46,-0.73,-0.5283,139.65,136.94,138.99,138.19,2025-04-18,"AMAT",-1.10079861860566,"Applied Materials","Information Technology","Semiconductor Materials & Equipment","Santa Clara, California","1995-03-16","6951","1967","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Semiconductors","1972-10-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMAT.png",111678.125649,"Applied Materials Inc","14087275555",812.44,"https://www.appliedmaterials.com/"
51.71,1,1.972,52.27,50.7813,51.07,50.71,2025-04-18,"APTV",1.25318190718622,"Aptiv","Consumer Discretionary","Automotive Parts & Equipment","Dublin, Ireland","2012-12-24","1521332","1994","CH","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Auto Components","2011-11-17","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/APTV.png",11864.672132,"Aptiv PLC","41525809600",229.45,"https://www.aptiv.com/"
92.57,0.19,0.2057,93.3,91.39,92.98,92.38,2025-04-18,"ACGL",-0.440955044095516,"Arch Capital Group","Financials","Property & Casualty Insurance","Hamilton, Bermuda","2022-11-01","947484","1995","BM","USD","USD","NASDAQ NMS - GLOBAL MARKET","Insurance","1995-09-13","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ACGL.png",34780.033147,"Arch Capital Group Ltd","14412789250",375.72,"https://www.archgroup.com/"
47.82,1.69,3.6636,47.888,46.41,46.41,46.13,2025-04-18,"ADM",3.03813833225599,"Archer Daniels Midland","Consumer Staples","Agricultural Products & Services","Chicago, Illinois","1957-03-04","7084","1902","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Food Products","1924-12-24","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADM.png",22961.04546,"Archer-Daniels-Midland Co","13126348233",480.16,"https://www.adm.com/"
71.2,-0.67,-0.9322,72.51,70.41,72.51,71.87,2025-04-18,"ANET",-1.80664735898497,"Arista Networks","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28","1596532","2004","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Communications","2014-06-06","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ANET.png",89791.931015,"Arista Networks Inc","14085475500",1255.63,"https://www.arista.com/en/"
329.22,-3.44,-1.0341,333.26,326.58,332.36,332.66,2025-04-18,"AJG",-0.944758695390536,"Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Rolling Meadows, Illinois","2016-05-31","354190","1927","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Insurance","1984-06-21","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AJG.png",84193.011908,"Arthur J. Gallagher & Co.","16307733800",255.73,"https://www.ajg.com/"
188.97,-1.35,-0.7093,191.715,188.6,191.6,190.32,2025-04-18,"AIZ",-1.37265135699373,"Assurant","Financials","Multi-line Insurance","Atlanta, Georgia","2007-04-10","1267238","1892","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Insurance","2004-02-04","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AIZ.png",9612.514494,"Assurant Inc","17707631000",50.87,"https://www.assurant.com/"
27.15,0.13,0.4811,27.49,27.01,27.18,27.02,2025-04-18,"T",-0.110375275938194,"AT&T","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30","732717","1983 (1885)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Telecommunication","1983-11-21","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/T.png",194887.668575,"AT&T Inc","12108214105",7178.18,"https://www.att.com/"
157.54,1.23,0.7869,159.2,156.3,156.3,156.31,2025-04-18,"ATO",0.793346129238631,"Atmos Energy","Utilities","Gas Utilities","Dallas, Texas","2019-02-15","731802","1906","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Utilities","1983-12-28","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ATO.png",25006.041208,"Atmos Energy Corp","19729349227",158.73,"https://www.atmosenergy.com/"
259.47,-0.69,-0.2652,262.385,258.14,262.3,260.16,2025-04-18,"ADSK",-1.07891727030118,"Autodesk","Information Technology","Application Software","San Francisco, California","1989-12-01","769397","1982","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Technology","1985-04-30","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADSK.png",55267.11026,"Autodesk Inc","14155075000",213,"https://www.autodesk.com/"
293.28,-0.86,-0.2924,296.1,292.96,295.88,294.14,2025-04-18,"ADP",-0.87873462214412,"Automatic Data Processing","Industrials","Human Resource & Employment Services","Roseland, New Jersey","1981-03-31","8670","1949","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Professional Services","1961-09-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ADP.png",119327.100177,"Automatic Data Processing Inc","19739745000",406.87,"https://www.adp.com/"
3603.47,36.61,1.0264,3630.71,3575.19,3575.19,3566.86,2025-04-18,"AZO",0.791006911520779,"AutoZone","Consumer Discretionary","Automotive Retail","Memphis, Tennessee","1997-01-02","866787","1979","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Retail","1991-04-02","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AZO.png",60281.212317,"Autozone Inc","19014956500",16.73,"https://www.autozone.com/"
203.38,3.32,1.6595,205,200.67,200.67,200.06,2025-04-18,"AVB",1.35047590571586,"AvalonBay Communities","Real Estate","Multi-Family Residential REITs","Arlington, Virginia","2007-01-10","915912","1978","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Real Estate","1994-03-11","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/942959034786.png",28954.931002,"AvalonBay Communities Inc","17033296300",142.37,"https://www.avaloncommunities.com/"
170.85,2.7,1.6057,172.067,169.23,169.23,168.15,2025-04-18,"AVY",0.957277078532178,"Avery Dennison","Materials","Paper & Plastic Packaging Products & Materials","Mentor, Ohio","1987-12-31","8818","1935","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Packaging","1961-01-01","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AVY.png",13491.340862,"Avery Dennison Corp","14405346000",78.97,"https://www.averydennison.com/en/home.html"
559.53,-12.32,-2.1544,578.2,556.39,578.2,571.85,2025-04-18,"AXON",-3.22898650985819,"Axon Enterprise","Industrials","Aerospace & Defense","Scottsdale, Arizona","2023-05-04","1069183","1993","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Aerospace & Defense","2001-05-08","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AXON.png",42873.01946,"Axon Enterprise Inc","14809910797",77.85,"https://www.axon.com/"
38.91,0.78,2.0456,39.48,38.64,38.77,38.13,2025-04-18,"BKR",0.361103946350254,"Baker Hughes","Energy","Oil & Gas Equipment & Services","Houston, Texas","2017-07-07","1701605","2017","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Energy","1987-06-04","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BKR.png",38534.500775,"Baker Hughes Co","17134398600",990.35,"https://www.bakerhughes.com/"
47.38,0.31,0.6586,47.82,46.93,47.06,47.07,2025-04-18,"BALL",0.67998300042499,"Ball Corporation","Materials","Metal, Glass & Plastic Containers","Broomfield, Colorado","1984-10-31","9389","1880","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Packaging","1973-12-17","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BLL.png",13384.759011642,"Ball Corp","13034693131",282.38,"https://www.ball.com/"
37.41,0.08,0.2143,37.8699,37.24,37.505,37.33,2025-04-18,"BAC",-0.253299560058675,"Bank of America","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30","70858","1998 (1923 / 1874)","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Banking","1979-06-05","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAC.png",282936.160234627,"Bank of America Corp","17043868486",7560.08,"https://www.bankofamerica.com"
28.89,1.07,3.8462,29.1,27.92,27.97,27.82,2025-04-18,"BAX",3.28923846978907,"Baxter International","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30","10456","1931","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","1961-05-15","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAX.png",14818.376135,"Baxter International Inc","18442945418",512.92,"https://www.baxter.com/"
198.71,-1.69,-0.8433,201.28,198.4,199.5,200.4,2025-04-18,"BDX",-0.395989974937339,"Becton Dickinson","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30","10795","1897","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Health Care","1963-09-25","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BDX.png",57056.678552,"Becton Dickinson and Co","12018476800",287.14,"https://www.bd.com/"
61.97,2.34,3.9242,62.375,60.03,60.03,59.63,2025-04-18,"BBY",3.23171747459603,"Best Buy","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29","764478","1966","US","USD","USD","NEW YORK STOCK EXCHANGE, INC.","Retail","1987-07-20","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BBY.png",13100.691749636,"Best Buy Co Inc","16122911000",211.37,"https://investors.bestbuy.com/investor-relations/overview/default.aspx"
48.1,-1.875,-3.7519,50,47.7,49.42,49.975,2025-04-18,"TECH",-2.67098340752732,"Bio-Techne","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","2021-08-30","842023","1976","US","USD","USD","NASDAQ NMS - GLOBAL MARKET","Life Sciences Tools & Services","1989-02-09","https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/TECH.png",7604.017757,"Bio-Techne Corp","16123798854",158.09,"https://www.bio-techne.com/"
